Ticker;Empresa;Volume;Fech. Ant.;Mínima;Máxima;Última;Var.(Dia);Var.(Mês);Var.(12M)
ABEV3;AMBEV S/A;201.01 M;R$ 12,92;R$ 12,87;R$ 13,02;R$ 12,90;-0.15%;-3.37%;+2.97%
ALOS3;ALLOS;20.43 M;R$ 23,60;R$ 23,49;R$ 23,69;R$ 23,52;-0.34%;-6.15%;+0.00%
ALPA4;ALPARGATAS;55.38 M;R$ 8,88;R$ 8,91;R$ 9,53;R$ 9,20;+3.60%;+4.66%;-8.18%
ARZZ3;AREZZO CO;29.19 M;R$ 58,78;R$ 58,56;R$ 59,70;R$ 58,86;+0.14%;-2.97%;-24.92%
ASAI3;ASSAI;32.63 M;R$ 13,16;R$ 13,06;R$ 13,45;R$ 13,32;+1.22%;-8.01%;-29.75%
AZUL4;AZUL;57.07 M;R$ 12,14;R$ 12,16;R$ 12,50;R$ 12,29;+1.24%;-4.88%;+53.05%
B3SA3;B3;134.03 M;R$ 12,86;R$ 12,78;R$ 12,97;R$ 12,81;-0.39%;-8.37%;+16.08%
BBAS3;BRASIL;168.96 M;R$ 58,35;R$ 58,01;R$ 58,59;R$ 58,05;-0.51%;+3.88%;+49.29%
BBDC3;BRADESCO;60.44 M;R$ 12,24;R$ 12,21;R$ 12,44;R$ 12,22;-0.16%;-13.36%;+6.06%
BBDC4;BRADESCO;224.54 M;R$ 13,37;R$ 13,38;R$ 13,63;R$ 13,40;+0.22%;-14.72%;+1.25%
BBSE3;BBSEGURIDADE;326.78 M;R$ 32,93;R$ 32,71;R$ 33,37;R$ 32,95;+0.06%;+2.13%;+1.54%
BEEF3;MINERVA;39.16 M;R$ 6,35;R$ 6,36;R$ 6,59;R$ 6,52;+2.68%;-3.83%;-44.11%
BHIA3;CASAS BAHIA;40.41 M;R$ 7,72;R$ 7,72;R$ 8,36;R$ 8,15;+5.57%;-15.37%;+0.00%
BPAC11;BTGP BANCO;161.66 M;R$ 37,02;R$ 36,43;R$ 37,20;R$ 36,48;-1.46%;-3.59%;+73.90%
BRAP4;BRADESPAR;61.04 M;R$ 21,91;R$ 21,82;R$ 22,04;R$ 21,92;+0.05%;-7.08%;-15.97%
BRFS3;BRF SA;29.19 M;R$ 14,18;R$ 14,23;R$ 14,80;R$ 14,60;+2.96%;+12.05%;+115.66%
BRKM5;BRASKEM;39.28 M;R$ 17,10;R$ 17,26;R$ 17,95;R$ 17,80;+4.09%;-3.31%;-12.32%
CCRO3;CCR SA;20.28 M;R$ 13,73;R$ 13,64;R$ 13,95;R$ 13,70;-0.22%;+2.24%;+25.62%
CIEL3;CIELO;35.07 M;R$ 5,26;R$ 5,25;R$ 5,31;R$ 5,26;+0.00%;+14.10%;+4.03%
CMIG4;CEMIG;18.00 M;R$ 11,29;R$ 11,31;R$ 11,45;R$ 11,40;+0.97%;-3.80%;+14.60%
CMIN3;CSN MINERACA;15.98 M;R$ 6,27;R$ 6,28;R$ 6,50;R$ 6,47;+3.19%;-4.99%;+50.28%
COGN3;COGNA ON;84.48 M;R$ 2,35;R$ 2,34;R$ 2,42;R$ 2,38;+1.28%;-25.63%;+8.62%
CPFE3;CPFL ENERGIA;87.30 M;R$ 35,56;R$ 35,77;R$ 36,19;R$ 35,91;+0.98%;-3.42%;+26.78%
CPLE6;COPEL;27.58 M;R$ 10,24;R$ 10,22;R$ 10,36;R$ 10,23;-0.10%;+1.29%;+41.62%
CRFB3;CARREFOUR BR;8.70 M;R$ 11,54;R$ 11,36;R$ 11,71;R$ 11,36;-1.56%;-5.33%;-23.88%
CSAN3;COSAN;43.37 M;R$ 18,23;R$ 18,32;R$ 18,63;R$ 18,59;+1.97%;+1.31%;+20.02%
CSNA3;SID NACIONAL;84.60 M;R$ 17,87;R$ 18,00;R$ 18,72;R$ 18,67;+4.48%;+8.61%;+19.13%
CVCB3;CVC BRASIL;19.98 M;R$ 3,17;R$ 3,16;R$ 3,25;R$ 3,16;-0.32%;-3.95%;-14.82%
CYRE3;CYRELA REALT;103.71 M;R$ 22,58;R$ 22,25;R$ 22,95;R$ 22,46;-0.53%;+0.13%;+57.90%
DXCO3;DEXCO;10.19 M;R$ 7,43;R$ 7,32;R$ 7,50;R$ 7,39;-0.54%;-4.03%;+12.17%
EGIE3;ENGIE BRASIL;11.25 M;R$ 40,40;R$ 40,45;R$ 40,80;R$ 40,55;+0.37%;-4.23%;+11.15%
ELET3;ELETROBRAS;421.04 M;R$ 42,99;R$ 42,87;R$ 43,47;R$ 42,98;-0.02%;+2.28%;+20.27%
ELET6;ELETROBRAS;109.59 M;R$ 47,48;R$ 47,10;R$ 47,88;R$ 47,22;-0.55%;+0.11%;+31.62%
EMBR3;EMBRAER;14.53 M;R$ 22,81;R$ 22,55;R$ 23,00;R$ 22,57;-1.05%;+5.71%;+38.98%
ENEV3;ENEVA;75.55 M;R$ 12,34;R$ 11,91;R$ 12,35;R$ 11,93;-3.32%;-5.47%;+0.76%
ENGI11;ENERGISA;20.11 M;R$ 50,31;R$ 50,23;R$ 50,93;R$ 50,42;+0.22%;-4.76%;+33.24%
EQTL3;EQUATORIAL;52.61 M;R$ 33,59;R$ 33,68;R$ 34,35;R$ 34,20;+1.82%;-2.95%;+30.99%
EZTC3;EZTEC;9.47 M;R$ 15,01;R$ 14,80;R$ 15,19;R$ 14,89;-0.80%;-8.82%;+15.68%
FLRY3;FLEURY;11.46 M;R$ 15,92;R$ 15,77;R$ 15,98;R$ 15,79;-0.82%;-7.71%;+10.87%
GGBR4;GERDAU;74.33 M;R$ 20,74;R$ 20,75;R$ 21,03;R$ 20,89;+0.72%;+1.02%;-19.16%
GOAU4;GERDAU MET;19.54 M;R$ 9,79;R$ 9,80;R$ 9,90;R$ 9,84;+0.51%;+0.82%;-11.58%
HAPV3;HAPVIDA;85.79 M;R$ 3,42;R$ 3,38;R$ 3,47;R$ 3,39;-0.88%;-23.82%;-33.92%
HYPE3;HYPERA;58.57 M;R$ 30,85;R$ 31,06;R$ 31,62;R$ 31,21;+1.17%;-7.59%;-30.68%
IGTI11;IGUATEMI S.A;8.64 M;R$ 23,66;R$ 23,37;R$ 23,82;R$ 23,38;-1.18%;-1.93%;+23.12%
IRBR3;IRBBRASIL RE;14.73 M;R$ 39,62;R$ 39,50;R$ 40,20;R$ 39,91;+0.73%;+0.91%;+72.17%
ITSA4;ITAUSA;29.93 M;R$ 10,36;R$ 10,35;R$ 10,42;R$ 10,36;+0.00%;+3.08%;+31.66%
ITUB4;ITAUUNIBANCO;130.38 M;R$ 34,29;R$ 34,14;R$ 34,46;R$ 34,31;+0.06%;+4.08%;+32.27%
JBSS3;JBS;43.50 M;R$ 22,54;R$ 22,52;R$ 22,90;R$ 22,70;+0.71%;-6.74%;+26.13%
KLBN11;KLABIN S/A;37.23 M;R$ 21,21;R$ 21,23;R$ 21,48;R$ 21,43;+1.04%;-2.72%;+13.17%
LREN3;LOJAS RENNER;43.16 M;R$ 14,60;R$ 14,42;R$ 14,83;R$ 14,43;-1.16%;-13.64%;-22.78%
LWSA3;LOCAWEB;7.60 M;R$ 5,46;R$ 5,36;R$ 5,49;R$ 5,38;-1.47%;-10.93%;-4.78%
MGLU3;MAGAZ LUIZA;240.73 M;R$ 2,02;R$ 1,98;R$ 2,07;R$ 2,01;-0.50%;-7.22%;-46.91%
MRFG3;MARFRIG;20.88 M;R$ 8,83;R$ 8,84;R$ 9,29;R$ 9,23;+4.53%;-1.39%;+36.50%
MRVE3;MRV;69.61 M;R$ 7,01;R$ 6,96;R$ 7,14;R$ 7,07;+0.86%;-8.89%;+9.61%
MULT3;MULTIPLAN;28.67 M;R$ 25,95;R$ 25,85;R$ 26,10;R$ 25,88;-0.27%;-7.51%;+9.28%
NTCO3;GRUPO NATURA;39.36 M;R$ 16,70;R$ 16,51;R$ 16,98;R$ 16,56;-0.84%;+1.41%;+7.81%
PCAR3;P.ACUCAR-CBD;9.42 M;R$ 3,87;R$ 3,83;R$ 3,94;R$ 3,91;+1.03%;-17.86%;-79.11%
PETR3;PETROBRAS;65.99 M;R$ 42,31;R$ 42,04;R$ 42,49;R$ 42,45;+0.33%;+7.20%;+76.16%
PETR4;PETROBRAS;301.52 M;R$ 40,99;R$ 40,85;R$ 41,26;R$ 41,20;+0.51%;+8.14%;+96.29%
PETZ3;PETZ;20.21 M;R$ 3,55;R$ 3,45;R$ 3,69;R$ 3,48;-1.97%;-1.14%;-48.16%
PRIO3;PETRORIO;180.96 M;R$ 42,55;R$ 41,88;R$ 42,97;R$ 42,67;+0.28%;-7.00%;+6.18%
RADL3;RAIADROGASIL;58.84 M;R$ 25,30;R$ 25,30;R$ 25,68;R$ 25,43;+0.51%;-8.29%;+14.66%
RAIL3;RUMO S.A.;28.55 M;R$ 23,83;R$ 23,57;R$ 24,00;R$ 23,76;-0.29%;+4.35%;+32.82%
RAIZ4;RAIZEN;11.24 M;R$ 3,87;R$ 3,86;R$ 3,93;R$ 3,91;+1.03%;+3.17%;+37.00%
RDOR3;REDE D OR;42.00 M;R$ 26,35;R$ 26,15;R$ 26,99;R$ 26,16;-0.72%;-4.63%;-8.70%
RECV3;PETRORECONCA;8.74 M;R$ 21,71;R$ 21,68;R$ 22,04;R$ 21,97;+1.20%;+5.88%;-22.57%
RENT3;LOCALIZA;48.72 M;R$ 52,00;R$ 51,95;R$ 52,54;R$ 51,99;-0.02%;-13.75%;-8.26%
RRRP3;3R PETROLEUM;18.39 M;R$ 27,90;R$ 27,77;R$ 28,27;R$ 28,27;+1.33%;-0.56%;-30.66%
SANB11;SANTANDER BR;9.30 M;R$ 28,24;R$ 28,27;R$ 28,52;R$ 28,37;+0.46%;-4.67%;-0.28%
SBSP3;SABESP;806.29 M;R$ 78,99;R$ 79,36;R$ 83,70;R$ 81,57;+3.27%;+7.05%;+51.99%
SLCE3;SLC AGRICOLA;12.03 M;R$ 18,57;R$ 18,52;R$ 18,82;R$ 18,70;+0.70%;+3.31%;-14.67%
SMTO3;SAO MARTINHO;72.56 M;R$ 26,03;R$ 25,94;R$ 26,87;R$ 26,49;+1.77%;-0.45%;+0.62%
SOMA3;GRUPO SOMA;14.31 M;R$ 7,08;R$ 7,02;R$ 7,20;R$ 7,06;-0.28%;-0.98%;-21.63%
SUZB3;SUZANO S.A.;29.48 M;R$ 52,25;R$ 51,77;R$ 52,36;R$ 52,12;-0.25%;-1.51%;+11.29%
TAEE11;TAESA;14.78 M;R$ 35,70;R$ 35,71;R$ 36,14;R$ 35,99;+0.81%;-4.41%;+6.23%
TIMS3;TIM;49.72 M;R$ 18,38;R$ 18,07;R$ 18,44;R$ 18,33;-0.27%;+6.88%;+58.73%
TOTS3;TOTVS;51.57 M;R$ 29,99;R$ 29,92;R$ 30,50;R$ 30,04;+0.17%;-6.77%;+6.67%
TRPL4;TRAN PAULIST;14.70 M;R$ 26,47;R$ 26,34;R$ 26,71;R$ 26,54;+0.26%;-0.52%;+29.09%
UGPA3;ULTRAPAR;23.76 M;R$ 29,24;R$ 28,89;R$ 29,41;R$ 28,91;-1.13%;+6.05%;+129.01%
USIM5;USIMINAS;144.40 M;R$ 9,36;R$ 9,35;R$ 9,80;R$ 9,77;+4.38%;+16.73%;+40.31%
VALE3;VALE;422.67 M;R$ 65,72;R$ 65,04;R$ 65,87;R$ 65,62;-0.15%;-7.08%;-20.63%
VAMO3;VAMOS;26.28 M;R$ 7,89;R$ 7,80;R$ 8,06;R$ 7,91;+0.25%;-14.95%;-44.34%
VBBR3;VIBRA;97.99 M;R$ 23,86;R$ 23,62;R$ 24,09;R$ 23,63;-0.96%;+6.39%;+56.79%
VIVT3;TELEF BRASIL;19.58 M;R$ 54,49;R$ 53,92;R$ 54,76;R$ 54,07;-0.77%;+6.71%;+39.67%
WEGE3;WEG;35.79 M;R$ 33,53;R$ 33,10;R$ 33,87;R$ 33,10;-1.28%;-1.52%;-13.35%
YDUQ3;YDUQS PART;16.12 M;R$ 18,67;R$ 18,62;R$ 18,95;R$ 18,70;+0.16%;-9.79%;+127.46%
